Id; intervalset
2880;3000
2867;3001
2796;3002
2931;3003
2838;3004
2852;3005
2863;3006
2854;3007
2898;3008
2855;3009
2862;3010
2839;3011
2923;3012
2894;3013
2890;3014
2876;3015
2900;3016
2857;3017
2885;3018
2111;3019
2886;3020
2114;3021
2120;3022
2877;3023
2818;3024
2881;3025
2074;3026
2076;3027
2845;3028
2190;3029
2861;3030
2866;3031
2860;3032
2888;3033
2869;3034
2930;3035
2915;3036
2238;3037
2896;3038
2184;3039
2902;3040
2916;3041
2919;3042
2113;3043
2920;3044
2185;3045
2901;3046
2912;3047
2908;3048
2921;3049
2933;3050
2784;3051
2821;3052
2903;3053
2909;3054
1129;3055
1118;3056
1149;3057
1182;3058
1187;3059
1350;3060
1291;3061
1351;3062
1310;3063
1203;3064
352;3065
3435;3066
3415;3067
3352;3068
3342;3069
3335;3070
3274;3071
3195;3072
3139;3073
3129;3074
3082;3075
3123;3076
3078;3077
3072;3078
3122;3079
3059;3080
3039;3081
3088;3082
3156;3083
3036;3084
3026;3085
3144;3086
3009;3087
3003;3088
3016;3089
3412;3090
3303;3091
3318;3092
3031;3093
3232;3094
2992;3095
2982;3096
1820;3097
2975;3098
2974;3099
