Id; intervalset
967;1900
955;1901
1150;1902
945;1903
975;1904
948;1905
1036;1906
961;1907
965;1908
868;1909
882;1910
940;1911
716;1912
729;1913
937;1914
981;1915
994;1916
776;1917
753;1918
577;1919
1375;1920
693;1921
724;1922
736;1923
773;1924
779;1925
764;1926
742;1927
757;1928
771;1929
774;1930
822;1931
775;1932
741;1933
809;1934
807;1935
1007;1936
766;1937
816;1938
939;1939
845;1940
758;1941
813;1942
823;1943
1004;1944
870;1945
1273;1946
846;1947
896;1948
907;1949
919;1950
980;1951
997;1952
755;1953
777;1954
887;1955
821;1956
851;1957
788;1958
791;1959
798;1960
815;1961
820;1962
829;1963
922;1964
911;1965
964;1966
850;1967
817;1968
825;1969
910;1970
1381;1971
1374;1972
1034;1973
1054;1974
1134;1975
1087;1976
826;1977
830;1978
827;1979
856;1980
837;1981
838;1982
970;1983
855;1984
947;1985
853;1986
866;1987
861;1988
847;1989
951;1990
884;1991
862;1992
891;1993
876;1994
921;1995
978;1996
863;1997
875;1998
874;1999
