Id; intervalset
3576;1000
3574;1001
3542;1002
3965;1003
3541;1004
3694;1005
3721;1006
3827;1007
3535;1008
3533;1009
3530;1010
1823;1011
3543;1012
3536;1013
3525;1014
3539;1015
3521;1016
3523;1017
3555;1018
3561;1019
3595;1020
3613;1021
3624;1022
3642;1023
3665;1024
3675;1025
3716;1026
3520;1027
3540;1028
3618;1029
3667;1030
3680;1031
3519;1032
3598;1033
3663;1034
3515;1035
3509;1036
3507;1037
3518;1038
3557;1039
3604;1040
3611;1041
3722;1042
3699;1043
3729;1044
3773;1045
3505;1046
3528;1047
3605;1048
3501;1049
3500;1050
3534;1051
3545;1052
3592;1053
3548;1054
3602;1055
3546;1056
3550;1057
3696;1058
3567;1059
3510;1060
3571;1061
3569;1062
3639;1063
3751;1064
3685;1065
3597;1066
3562;1067
3572;1068
3499;1069
1822;1070
3583;1071
3791;1072
3497;1073
3496;1074
3504;1075
3495;1076
3494;1077
3537;1078
3491;1079
3490;1080
3531;1081
3568;1082
3489;1083
3488;1084
3760;1085
3862;1086
3487;1087
3614;1088
3502;1089
3554;1090
3590;1091
3622;1092
3616;1093
3669;1094
3649;1095
3506;1096
3508;1097
3615;1098
3511;1099
