Id; intervalset
3934;1500
3938;1501
3949;1502
3946;1503
3970;1504
2092;1505
3942;1506
2091;1507
2059;1508
2093;1509
3972;1510
3975;1511
1730;1512
1725;1513
373;1514
417;1515
425;1516
1717;1517
375;1518
377;1519
1739;1520
1766;1521
1770;1522
1793;1523
1778;1524
1734;1525
1772;1526
1775;1527
1777;1528
1783;1529
1736;1530
1804;1531
1797;1532
1798;1533
1785;1534
1795;1535
1791;1536
1796;1537
1814;1538
1811;1539
1805;1540
1722;1541
1728;1542
1818;1543
1781;1544
1716;1545
1727;1546
1792;1547
1794;1548
1799;1549
1800;1550
1802;1551
1803;1552
1806;1553
1809;1554
1813;1555
1816;1556
1719;1557
376;1558
449;1559
403;1560
543;1561
1093;1562
624;1563
752;1564
663;1565
704;1566
889;1567
985;1568
1032;1569
528;1570
450;1571
491;1572
575;1573
840;1574
654;1575
430;1576
537;1577
463;1578
451;1579
472;1580
424;1581
478;1582
583;1583
604;1584
623;1585
672;1586
702;1587
849;1588
805;1589
800;1590
718;1591
819;1592
419;1593
589;1594
427;1595
431;1596
405;1597
428;1598
1726;1599
