Id; intervalset
2034;200
2032;201
2035;202
1974;203
1979;204
1992;205
1989;206
1993;207
1987;208
1998;209
0;210
335;211
305;212
292;213
287;214
244;215
282;216
234;217
233;218
256;219
216;220
215;221
210;222
209;223
166;224
198;225
160;226
154;227
153;228
145;229
120;230
114;231
97;232
182;233
90;234
179;235
86;236
81;237
286;238
74;239
71;240
70;241
68;242
64;243
100;244
58;245
107;246
1319;247
1067;248
1046;249
1044;250
996;251
952;252
916;253
881;254
872;255
762;256
756;257
748;258
692;259
686;260
662;261
648;262
643;263
869;264
631;265
605;266
582;267
571;268
557;269
551;270
539;271
536;272
541;273
532;274
680;275
1072;276
517;277
513;278
1113;279
494;280
488;281
591;282
694;283
482;284
473;285
471;286
576;287
456;288
445;289
442;290
465;291
502;292
437;293
459;294
636;295
962;296
476;297
429;298
423;299
