Id; intervalset
3976;1400
3968;1401
3971;1402
3635;1403
3640;1404
3661;1405
3633;1406
3697;1407
3666;1408
3728;1409
3695;1410
3708;1411
3668;1412
3684;1413
3683;1414
3570;1415
2053;1416
3936;1417
3709;1418
3749;1419
3681;1420
3692;1421
3679;1422
3724;1423
3772;1424
2082;1425
3706;1426
2083;1427
2054;1428
3852;1429
2055;1430
3831;1431
2086;1432
3810;1433
3723;1434
3750;1435
3778;1436
3755;1437
3718;1438
2084;1439
2056;1440
3811;1441
2085;1442
3795;1443
3733;1444
3714;1445
3753;1446
3803;1447
3776;1448
2087;1449
2046;1450
3800;1451
3788;1452
3860;1453
3959;1454
2057;1455
2058;1456
3896;1457
3756;1458
3805;1459
3842;1460
3814;1461
3818;1462
3838;1463
3851;1464
3951;1465
3864;1466
3858;1467
3899;1468
3924;1469
2088;1470
3926;1471
3963;1472
3979;1473
3931;1474
3892;1475
3906;1476
3927;1477
3889;1478
3974;1479
3875;1480
3919;1481
3870;1482
3872;1483
3921;1484
3854;1485
3956;1486
3983;1487
3845;1488
3844;1489
3893;1490
3855;1491
3916;1492
2089;1493
3897;1494
3883;1495
2090;1496
3937;1497
3910;1498
3948;1499
