Id; intervalset
1907;100
1905;101
1900;102
1896;103
1884;104
1902;105
1920;106
1885;107
1986;108
1875;109
1892;110
1910;111
1908;112
1949;113
1899;114
1898;115
1914;116
1943;117
1997;118
2000;119
1897;120
1918;121
1966;122
1919;123
1904;124
1911;125
1916;126
1947;127
1936;128
1941;129
1934;130
1951;131
1893;132
1915;133
1944;134
1922;135
1917;136
1909;137
1924;138
1925;139
1937;140
1903;141
1926;142
1929;143
1999;144
1945;145
1956;146
1950;147
1963;148
1967;149
1984;150
1955;151
1960;152
1952;153
1939;154
1940;155
1958;156
1978;157
1928;158
1932;159
1959;160
1948;161
1977;162
1938;163
1981;164
1942;165
1965;166
1976;167
1953;168
1954;169
1962;170
1995;171
1964;172
1968;173
1969;174
1988;175
1972;176
1971;177
1973;178
2026;179
1996;180
1980;181
1982;182
1975;183
1991;184
1990;185
1994;186
1983;187
1985;188
2001;189
2015;190
2002;191
2010;192
2030;193
2038;194
2007;195
2009;196
2022;197
2028;198
2024;199
