Id; intervalset
879;2000
1017;2001
893;2002
877;2003
895;2004
930;2005
958;2006
1061;2007
986;2008
968;2009
982;2010
990;2011
993;2012
885;2013
959;2014
1011;2015
1035;2016
1051;2017
1092;2018
1088;2019
1027;2020
1167;2021
1110;2022
1015;2023
1153;2024
1158;2025
1340;2026
1224;2027
988;2028
1001;2029
1068;2030
1059;2031
1062;2032
1069;2033
1078;2034
1073;2035
1064;2036
1124;2037
989;2038
923;2039
926;2040
906;2041
908;2042
973;2043
1031;2044
1140;2045
1247;2046
1029;2047
1022;2048
1175;2049
1119;2050
1120;2051
1115;2052
1218;2053
1232;2054
1060;2055
1111;2056
1146;2057
1180;2058
1102;2059
1131;2060
1179;2061
1163;2062
1165;2063
1177;2064
1117;2065
1159;2066
1252;2067
1225;2068
983;2069
1052;2070
1157;2071
1248;2072
1228;2073
1085;2074
1229;2075
1251;2076
1355;2077
1258;2078
1286;2079
1181;2080
1216;2081
902;2082
888;2083
917;2084
935;2085
971;2086
933;2087
949;2088
944;2089
953;2090
942;2091
1010;2092
943;2093
925;2094
957;2095
977;2096
1024;2097
920;2098
946;2099
