Id; intervalset
1665;400
1850;401
1849;402
1845;403
140;404
115;405
269;406
477;407
1329;408
1881;409
1211;410
743;411
1728;412
1336;413
1860;414
1854;415
1384;416
1725;417
1465;418
1493;419
1633;420
1852;421
1694;422
1596;423
1557;424
1598;425
913;426
91;427
1371;428
1893;429
1700;430
1695;431
1350;432
1549;433
1300;434
278;435
1829;436
1535;437
1888;438
1876;439
1886;440
1885;441
1884;442
1883;443
1832;444
838;445
1688;446
1752;447
1546;448
1510;449
1692;450
237;451
1617;452
1523;453
1889;454
1831;455
1379;456
747;457
843;458
1658;459
1844;460
1846;461
1767;462
1590;463
1594;464
1410;465
1570;466
1698;467
463;468
612;469
1683;470
1862;471
1190;472
1121;473
470;474
915;475
565;476
1708;477
1444;478
1454;479
1450;480
1452;481
1469;482
1686;483
1497;484
1872;485
1781;486
1494;487
191;488
1718;489
1714;490
1706;491
504;492
380;493
1052;494
44;495
681;496
861;497
578;498
1365;499
