Id; intervalset
2765;2900
2840;2901
2859;2902
2715;2903
2721;2904
2734;2905
2780;2906
2807;2907
2737;2908
2710;2909
2183;2910
2713;2911
2749;2912
2725;2913
2774;2914
2124;2915
2744;2916
2776;2917
2777;2918
2918;2919
2848;2920
2883;2921
2906;2922
2825;2923
2783;2924
2907;2925
2924;2926
2926;2927
2236;2928
2790;2929
2781;2930
2792;2931
2882;2932
2798;2933
2782;2934
2731;2935
2762;2936
2763;2937
2237;2938
2769;2939
2773;2940
2189;2941
2730;2942
2785;2943
2795;2944
2788;2945
2726;2946
2797;2947
2810;2948
2109;2949
2836;2950
2893;2951
2849;2952
2905;2953
2870;2954
2872;2955
2858;2956
2891;2957
2871;2958
2914;2959
2892;2960
2917;2961
2934;2962
2904;2963
2932;2964
2895;2965
2899;2966
2925;2967
2929;2968
2805;2969
2806;2970
2826;2971
2816;2972
2865;2973
2851;2974
2868;2975
2811;2976
2829;2977
2779;2978
2841;2979
2112;2980
2847;2981
2794;2982
2813;2983
2850;2984
2073;2985
2804;2986
2812;2987
2075;2988
2853;2989
2832;2990
2874;2991
2884;2992
2842;2993
2833;2994
2887;2995
2873;2996
2928;2997
2819;2998
2110;2999
