Id; intervalset
3587;1300
3606;1301
3609;1302
2079;1303
3596;1304
2080;1305
3710;1306
2048;1307
2050;1308
2052;1309
3647;1310
3653;1311
2043;1312
3781;1313
3626;1314
3634;1315
3654;1316
3704;1317
3646;1318
3757;1319
3871;1320
1825;1321
3960;1322
3912;1323
3771;1324
3769;1325
3743;1326
3671;1327
3703;1328
3732;1329
3799;1330
3739;1331
3807;1332
3891;1333
3727;1334
3735;1335
3650;1336
3740;1337
3712;1338
3961;1339
3796;1340
3837;1341
3953;1342
3774;1343
3793;1344
3784;1345
3786;1346
3780;1347
3903;1348
3783;1349
3797;1350
3849;1351
3918;1352
3907;1353
3850;1354
3801;1355
3808;1356
3832;1357
3877;1358
3824;1359
3817;1360
3835;1361
3941;1362
3966;1363
3887;1364
3847;1365
3890;1366
3839;1367
3901;1368
3809;1369
3922;1370
3982;1371
3836;1372
3867;1373
3840;1374
3898;1375
3846;1376
3880;1377
3881;1378
3904;1379
3911;1380
3777;1381
3843;1382
3923;1383
3908;1384
3914;1385
3945;1386
3917;1387
3939;1388
3932;1389
3954;1390
3980;1391
3977;1392
3957;1393
3973;1394
3964;1395
3856;1396
3935;1397
3952;1398
3962;1399
