Id; intervalset
3251;3600
3253;3601
3256;3602
3260;3603
3264;3604
3265;3605
3268;3606
3270;3607
3281;3608
3273;3609
3280;3610
3282;3611
3276;3612
3283;3613
3290;3614
3293;3615
3294;3616
3295;3617
3296;3618
3299;3619
3302;3620
3305;3621
3310;3622
3311;3623
3312;3624
3315;3625
3326;3626
3336;3627
3346;3628
3337;3629
3338;3630
3340;3631
3245;3632
2224;3633
3341;3634
3328;3635
3364;3636
3345;3637
3332;3638
3324;3639
3383;3640
3434;3641
3347;3642
3427;3643
3351;3644
3358;3645
3353;3646
3354;3647
3360;3648
3362;3649
3365;3650
3369;3651
3367;3652
3370;3653
3377;3654
3262;3655
3263;3656
3292;3657
3372;3658
3374;3659
3331;3660
3368;3661
3475;3662
2220;3663
1470;3664
1468;3665
1471;3666
3284;3667
2223;3668
1478;3669
1474;3670
1493;3671
1489;3672
3428;3673
3452;3674
3459;3675
3458;3676
3464;3677
1499;3678
3468;3679
1500;3680
3471;3681
1502;3682
3473;3683
3480;3684
3481;3685
3482;3686
1505;3687
3300;3688
3314;3689
3355;3690
3359;3691
3373;3692
3394;3693
3371;3694
3316;3695
1475;3696
3319;3697
3349;3698
1472;3699
