Id; intervalset
1295;500
1447;501
771;502
201;503
660;504
571;505
489;506
564;507
523;508
744;509
1169;510
555;511
1599;512
1815;513
975;514
905;515
136;516
906;517
149;518
135;519
48;520
23;521
16;522
15;523
9;524
1257;524
1011;525
64;526
24;527
20;528
63;529
81;530
17;531
147;532
359;533
729;534
728;535
1713;536
264;537
886;538
721;539
627;540
783;541
1108;542
649;543
451;544
27;545
1477;546
1209;547
252;548
319;549
449;550
774;551
629;552
1229;553
768;554
1275;555
874;556
706;557
563;558
1274;559
1317;560
178;561
177;562
30;563
1504;564
3;565
88;566
54;567
39;568
36;569
212;570
382;571
38;572
12;573
13;574
10;575
14;576
518;577
485;578
106;579
741;580
137;581
435;582
125;583
116;584
815;585
121;586
1019;587
636;588
58;589
291;590
114;591
107;592
34;593
32;594
45;595
21;596
22;597
6;598
122;599
