Id; intervalset
499;900
1262;901
521;902
1754;903
1827;904
4035;905
4025;906
4023;907
4016;908
4012;909
4010;910
4008;911
4003;912
4030;913
3994;914
3992;915
4009;916
4017;917
4026;918
1828;919
1829;920
3993;921
3990;922
4013;923
3988;924
3987;925
3986;926
3985;927
4005;928
3991;929
3995;930
3997;931
4006;932
4014;933
3989;934
4002;935
4033;936
3984;937
3996;938
3999;939
4000;940
4019;941
4015;942
4018;943
4022;944
4011;945
4020;946
4027;947
4001;948
4036;949
4007;950
3998;951
4029;952
4004;953
4024;954
4034;955
4021;956
4037;957
4031;958
4028;959
4032;960
1830;961
1807;962
1712;963
1705;964
1707;965
372;966
1738;967
1710;968
1821;969
3978;970
3943;971
3888;972
3885;973
3868;974
3866;975
3865;976
3834;977
3815;978
3894;979
3812;980
3766;981
3764;982
3859;983
3752;984
3748;985
3738;986
3762;987
3730;988
3725;989
3678;990
3676;991
3648;992
3620;993
3608;994
3603;995
3594;996
3713;997
3580;998
3822;999
