Id; intervalset
1455;300
283;301
1609;302
1276;303
1105;304
1802;305
1644;306
1663;307
1482;308
1429;309
1389;310
1015;311
1220;312
433;313
432;313
1132;314
1097;315
763;316
445;317
419;318
418;319
330;320
157;321
138;322
1840;323
1156;324
1839;325
1879;326
849;327
1362;328
1014;329
475;330
292;331
742;332
1759;333
1758;334
1681;335
1705;336
1621;337
1650;338
1639;339
1642;340
1649;341
1449;342
1196;343
527;344
410;345
261;346
329;347
250;348
215;349
164;350
19;351
274;351
156;352
152;353
981;354
1047;355
230;356
1207;357
959;358
1530;359
1388;360
1528;361
1155;362
1826;363
1825;364
1824;365
1823;366
921;367
1393;368
1540;369
1822;370
1821;371
1820;372
110;373
111;374
1819;375
1818;376
1817;377
1805;378
1816;379
1148;380
1634;381
181;382
1661;383
1653;384
1347;385
1023;386
511;387
1514;388
956;389
889;390
1543;391
824;392
1610;393
1611;394
1612;395
1882;396
1890;397
1696;398
1857;399
