Id; intervalset
698;1800
828;1801
720;1802
842;1803
929;1804
858;1805
632;1806
661;1807
658;1808
651;1809
803;1810
769;1811
963;1812
897;1813
936;1814
787;1815
740;1816
668;1817
664;1818
1127;1819
905;1820
650;1821
646;1822
659;1823
677;1824
681;1825
666;1826
635;1827
682;1828
683;1829
854;1830
667;1831
670;1832
723;1833
804;1834
799;1835
806;1836
843;1837
835;1838
894;1839
818;1840
844;1841
976;1842
883;1843
860;1844
886;1845
998;1846
695;1847
671;1848
684;1849
685;1850
728;1851
705;1852
751;1853
697;1854
687;1855
700;1856
691;1857
708;1858
731;1859
747;1860
767;1861
763;1862
903;1863
778;1864
770;1865
784;1866
801;1867
759;1868
898;1869
802;1870
768;1871
892;1872
810;1873
795;1874
789;1875
913;1876
932;1877
1000;1878
915;1879
950;1880
1012;1881
772;1882
808;1883
900;1884
831;1885
878;1886
867;1887
836;1888
833;1889
1240;1890
899;1891
918;1892
865;1893
909;1894
924;1895
890;1896
912;1897
934;1898
859;1899
